category,page,title,type,size,url
Syllabus,syllabus.html,"FYBCom, SYBCom, TYBCom Syllabus",PDF,1668 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fybcom_sybcom_tybcom_syllabus.pdf
Syllabus,syllabus.html,FY BA Sociology Syllabus,PDF,592 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fy_ba_sociology_syllabus.pdf
Syllabus,syllabus.html,FYBA English General and Honours Syllabus,PDF,620 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fyba_english_general_and_honours_syllabus.pdf
Syllabus,syllabus.html,FYBA / SYBA Konkani Syllabus,PDF,1240 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/f.y.b.a.s.y.b.a.konkani_syllabus_.pdf
Syllabus,syllabus.html,FYBA Konkani Syllabus,PDF,965 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fyba_konkani_syllabus.pdf
Syllabus,syllabus.html,FYBA Hindi Syllabus,PDF,1254 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fyba_hindi_syllabus.pdf
Syllabus,syllabus.html,BA Honours in History Syllabus,PDF,891 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/ba_honours_in_history_syllabus.pdf
Syllabus,syllabus.html,FYBA Political Science Syllabus,PDF,680 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/fyba_political_science_syllabus.pdf
Syllabus,syllabus.html,BA Economics FY SY TY Syllabus,PDF,514 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/ba_economics_fy_sy_ty_syllabus.pdf
Syllabus,syllabus.html,BA BCom Environmental Studies,PDF,696 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/ba_bcom_environmental_studies.pdf
Syllabus,syllabus.html,SYBA Sociology Syllabus,PDF,129 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/s.y.b.a._sociology_syllabus.pdf
Syllabus,syllabus.html,BA Economics Syllabus Under CBCS,PDF,703 KB,https://faclibrary.weebly.com/uploads/6/2/3/3/62333815/b.a.economics_syllabus_under_cbcs_.pdf
